produit,pays,valeur_2000,valeur_2001,valeur_2002,valeur_2003,valeur_2004,valeur_2005,valeur_2006,valeur_2007,valeur_2008,valeur_2009,valeur_2010,valeur_2011,valeur_2012,valeur_2013,valeur_2014,valeur_2015,valeur_2016,valeur_2017,valeur_2018,valeur_2019,valeur_2020,valeur_2021,valeur_2022,valeur_2023,poids_2000,poids_2001,poids_2002,poids_2003,poids_2004,poids_2005,poids_2006,poids_2007,poids_2008,poids_2009,poids_2010,poids_2011,poids_2012,poids_2013,poids_2014,poids_2015,poids_2016,poids_2017,poids_2018,poids_2019,poids_2020,poids_2021,poids_2022,poids_2023
CITRON,AFRIQUE DU SUD,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0
CITRON,ALGERIE,0,0,0,0,0,0,0,0,0,0,0,0.0,250000.0,0.0,0.0,0.0,284544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25000.0,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITRON,ALLEMAGNE,0,0,165,0,0,0,0,1390,241,2778,226013,114.036,0.0,2113.336,100279.63,0.0,623.0,1662.046,742.0,523651.64,542225.0,433935.354,658.578,1728.668,0,0,27,0,0,0,0,380,67,225,20822,15,0.0,191.89,11630.0,0.0,59.0,119.9,30.9,20471.77,27709.78,33025.0,91.0,145.75
CITRON,ANGOLA,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,129636.0,715522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,24930.0,46890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITRON,ARABIE SAOUDITE,0,0,0,180,0,0,0,0,85010,217650,358219,434921.0,11277.0,176320.0,747893.22,3154244.03,5870203.0,5301484.79,229880.0,5189432.775,1766210.0,1176595.832,96200.0,0.0,0,0,0,50,0,0,0,0,17002,20450,72300,131870,1476.0,44000.0,86985.0,418743.0,1029460.0,1109526.0,23222.0,714760.0,275507.0,144719.0,24050.0,0.0
CITRON,ARMENIE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,203632.0,0.0,0.0,0.0,286983.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21525.0,0.0,0.0,0.0,35910.0,0.0,0.0
CITRON,AUTRES PAYS,0,0,0,0,0,0,0,0,0,0,210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112338.0,0.0,0.0,2028.0,2760.0,0,0,0,0,0,0,0,0,0,0,70000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14715.0,0.0,0.0,8.5,7.65
CITRON,AVITAILLEMENT,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0,8221.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,412.0
CITRON,AZERBAIDJAN,0,0,0,0,0,0,0,0,129600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,43200,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CITRON,BAHAMAS,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
CITRON,BAHREIN,0,0,0,0,0,0,0,0,0,0,0,2500.0,0.0,0.0,0.0,289725.0,900.0,0.0,0.0,14.0,0.0,284.0,0.1,13563.0,0,0,0,0,0,0,0,0,0,0,0,100,0.0,0.0,0.0,35475.0,45.0,0.0,0.0,30.0,0.0,9.0,1.0,400.0
CITRON,BELGIQUE,994,4355,13544,0,9666,0,0,0,21516,56584,0,0.0,0.0,0.0,0.0,0.0,10013.0,9576.0,0.0,0.0,7.0,502.168,26615.167,0.0,140,255,1207,0,1056,0,0,0,5400,10470,0,0,0.0,0.0,0.0,0.0,1440.0,1440.0,0.0,0.0,2.1,25.0,2160.0,0.0
CITRON,BOSNIE-HERZEGOVINE,0,0,0,0,0,0,0,0,0,0,0,39600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468339.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,36000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43680.0,0.0,0.0,0.0
CITRON,BRESIL,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96200.0,0.0,0.0,0.0,425.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24050.0,0.0,0.0,0.0,10.0
CITRON,BURKINA FASO,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20400.0,10070.0,54630.0,980.0,50975.0,56184.0,152665.0,154400.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7700.0,1360.0,8680.0,440.0,17870.0,20805.0,38165.0,32420.0
CITRON,CAMEROUN,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17280.0,54276.0,8938.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4320.0,7290.0,6750.0
CITRON,CANADA,0,84,0,0,0,0,0,405000,0,94500,3606000,1737187.0,1966375.0,898256.0,3304582.0,4540164.0,2198709.07,6129189.05,4447372.6,7348650.7,5065078.526,8820519.398,8370131.076,2266436.0,0,12,0,0,0,0,0,81000,0,18900,721200,401775,364375.0,179642.0,630148.0,809900.0,306481.0,786485.0,1060840.0,1240050.0,686753.775,876192.0,1819095.0,601709.0
