"Libellé du chapitre SH";"Libellé du produit SH";"Continent";"Libellé du pays";"Libellé du flux";"Poids en KG 2000";"Valeur DHS 2000";"Poids en KG 2001";"Valeur DHS 2001";"Poids en KG 2002";"Valeur DHS 2002";"Poids en KG 2003";"Valeur DHS 2003";"Poids en KG 2004";"Valeur DHS 2004";"Poids en KG 2005";"Valeur DHS 2005";"Poids en KG 2006";"Valeur DHS 2006";"Poids en KG 2007";"Valeur DHS 2007";"Poids en KG 2008";"Valeur DHS 2008";"Poids en KG 2009";"Valeur DHS 2009";"Poids en KG 2010";"Valeur DHS 2010";"Poids en KG 2011";"Valeur DHS 2011";"Poids en KG 2012";"Valeur DHS 2012";"Poids en KG 2013";"Valeur DHS 2013";"Poids en KG 2014";"Valeur DHS 2014";"Poids en KG 2015";"Valeur DHS 2015";"Poids en KG 2016";"Valeur DHS 2016";"Poids en KG 2017";"Valeur DHS 2017";"Poids en KG 2018";"Valeur DHS 2018";"Poids en KG 2019";"Valeur DHS 2019";"Poids en KG 2020";"Valeur DHS 2020";"Poids en KG 2021";"Valeur DHS 2021";"Poids en KG 2022";"Valeur DHS 2022";"Poids en KG 2023";"Valeur DHS 2023";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"GUINEE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"60";"0";"0";"0";"0";"0";"0";"521,4";"11800";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS CONSERVES PROVISOIREMENT IMPROPRES A L'ALIMENTATION";"EUROPE";"FRANCE";"Exportations FAB";"259658";"1553090";"70920";"736504";"5";"83";"0";"0";"0";"0";"0";"0";"108600";"680534";"0";"0";"0";"0";"221680";"1580562";"600";"4305";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"322364";"5644067";"373198";"8050710";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS CONSERVES PROVISOIREMENT IMPROPRES A L'ALIMENTATION";"EUROPE";"BELGIQUE";"Exportations FAB";"148376";"895280";"7020";"49081";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7960";"119084";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS CONSERVES PROVISOIREMENT IMPROPRES A L'ALIMENTATION";"AMERIQUE";"BRESIL";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1,3";"17,04";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"COTE D'IVOIRE";"Exportations FAB";"1521";"26280";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"702";"8043,23";"0";"0";"0";"0";"175";"1750";"651";"2869";"0";"0";"90";"6198";"263,1";"21290";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"ASIE";"EMIRATS ARABES UNIS";"Exportations FAB";"42296";"507552";"31304";"320476";"6459";"87480";"2098";"23470";"420";"9540";"13629";"146624";"35027";"1268549";"14171";"166005";"14739";"159465";"24810";"343155";"0";"0";"0";"0";"5662";"84888";"4463";"58019";"2892";"28920";"3000";"76379";"340";"9180";"0,8";"81";"0";"0";"0";"0";"12268,2";"496110";"6011";"179403,75";"6074,3";"279815";"3079,3";"174505";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS CONSERVES PROVISOIREMENT IMPROPRES A L'ALIMENTATION";"EUROPE";"ALLEMAGNE";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46368";"442514";"0";"0";"0";"0";"0";"0";"0";"0";"1,312";"54";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"ASIE";"KOWEIT";"Exportations FAB";"16281";"220820";"6500";"78000";"1434";"76300";"5072";"50720";"0";"0";"1200";"12000";"5166";"90118";"9951";"131565";"5514";"60180";"9297";"130820";"0";"0";"0";"0";"3760";"56400";"11622";"164416";"1000";"10000";"1056";"39476";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1835";"27525";"1765";"52415";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"NIGERIA";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"150";"3150";"0";"0";"238";"9576";
"FRUITS COMESTIBLES, ÉCORCES D'AGRUMES OU DE MELONS";"ABRICOTS FRAIS";"AFRIQUE";"BURKINA FASO";"Exportations FAB";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"19045";"148304";"16416";"130528";
